timestamp,appName,duration
2025-04-24 09:19:52,pos-apply-sgp-aks-sea-emm-prd,0.021
2025-04-24 09:49:58,pos-apply-sgp-aks-sea-emm-prd,0.053
2025-04-24 11:30:01,pos-apply-sgp-aks-sea-emm-prd,10.019
2025-04-24 12:30:09,pos-apply-sgp-aks-sea-emm-prd,1.721
2025-04-25 00:02:26,pos-apply-sgp-aks-sea-emm-prd,0.025
2025-04-25 00:02:45,pos-apply-sgp-aks-sea-emm-prd,0.017
2025-04-25 03:46:22,pos-apply-sgp-aks-sea-emm-prd,25.036
2025-04-25 04:45:56,pos-apply-sgp-aks-sea-emm-prd,0.024
2025-04-25 05:15:06,pos-apply-sgp-aks-sea-emm-prd,0.196
2025-04-25 05:17:52,pos-apply-sgp-aks-sea-emm-prd,0.042
2025-04-25 05:20:49,pos-apply-sgp-aks-sea-emm-prd,0.052
2025-04-25 05:27:54,pos-apply-sgp-aks-sea-emm-prd,0.064
2025-04-25 05:28:21,pos-apply-sgp-aks-sea-emm-prd,0.047
2025-04-25 05:31:08,pos-apply-sgp-aks-sea-emm-prd,0.037
2025-04-25 05:32:48,pos-apply-sgp-aks-sea-emm-prd,0.041
2025-04-25 06:22:13,pos-apply-sgp-aks-sea-emm-prd,0.02
2025-04-25 06:59:50,pos-apply-sgp-aks-sea-emm-prd,0.024
2025-04-26 01:33:40,pos-apply-sgp-aks-sea-emm-prd,1.188
2025-04-26 01:34:18,pos-apply-sgp-aks-sea-emm-prd,0.639
2025-04-26 01:51:08,pos-apply-sgp-aks-sea-emm-prd,1.677
2025-04-26 01:52:09,pos-apply-sgp-aks-sea-emm-prd,0.619
2025-04-26 02:54:31,pos-apply-sgp-aks-sea-emm-prd,0.022
2025-04-26 02:54:44,pos-apply-sgp-aks-sea-emm-prd,0.026
2025-04-26 03:54:01,pos-apply-sgp-aks-sea-emm-prd,30.04
2025-04-26 03:56:48,pos-apply-sgp-aks-sea-emm-prd,30.038
2025-04-26 03:59:13,pos-apply-sgp-aks-sea-emm-prd,10.026
2025-04-26 06:53:58,pos-apply-sgp-aks-sea-emm-prd,0.029
2025-04-26 15:46:14,pos-apply-sgp-aks-sea-emm-prd,0.984
2025-04-26 15:54:41,pos-apply-sgp-aks-sea-emm-prd,2.86
2025-04-26 15:55:16,pos-apply-sgp-aks-sea-emm-prd,0.758
2025-04-26 16:19:06,pos-apply-sgp-aks-sea-emm-prd,0.786
